,MKT
1990-02-28,0.0
1990-03-31,-0.018464762658678847
1990-04-30,-0.18581970118362798
1990-05-31,0.16085635598732365
1990-06-30,-0.09216893307932736
1990-07-31,-0.056530438041877844
1990-08-31,-0.10502321435721501
1990-09-30,-0.012540616214389299
1990-10-31,0.14859602284032775
1990-11-30,0.0117192825671734
1990-12-31,-0.0017782920974295498
1991-01-31,-0.05326157650490531
1991-02-28,0.061570066707515525
1991-03-31,-0.035425993443845165
1991-04-30,-0.006182554686229184
1991-05-31,-0.0527136824289423
1991-06-30,-0.01060030345120457
1991-07-31,0.19136571531650903
1991-08-31,-0.0418123720592123
1991-09-30,0.027783345638910703
1991-10-31,-0.009661758700329152
1991-11-30,-0.06053205199092884
1991-12-31,-0.06151774549777808
1992-01-31,0.15720043144818302
1992-02-29,-0.09587782031764253
1992-03-31,-0.007355281874059778
1992-04-30,0.008949133008652008
1992-05-31,-0.07312489941467268
1992-06-30,-0.03197906771654661
1992-07-31,-0.07622221167747623
1992-08-31,0.10658145413239062
1992-09-30,-0.08592823813192782
1992-10-31,0.1912478505758773
1992-11-30,0.08667119339962237
1992-12-31,0.017740165757702833
1993-01-31,0.02269068284953624
1993-02-28,-0.05075175990410902
1993-03-31,0.03460365609217163
1993-04-30,0.08037211149469928
1993-05-31,0.0407559098453846
1993-06-30,-0.005174173906083026
1993-07-31,-0.024289410630577532
1993-08-31,-0.08767858574378262
1993-09-30,0.08142620221086214
1993-10-31,0.03438603853924151
1993-11-30,0.09168493338395112
1993-12-31,0.07330388935563491
1994-01-31,0.12079385836200594
1994-02-28,-0.021174465355930174
1994-03-31,-0.05701029209551411
1994-04-30,0.04251913185041535
1994-05-31,0.041701319673013715
1994-06-30,-0.005497131942951383
1994-07-31,0.0013638516380308236
1994-08-31,0.014168716884014667
1994-09-30,0.11736475629121448
1994-10-31,0.05250420173025659
1994-11-30,-0.027719188224831694
1994-12-31,-0.04380200605042271
1995-01-31,-0.07780972713465942
1995-02-28,-0.04102669162150996
1995-03-31,0.053222764569187495
1995-04-30,-0.03979606920702879
1995-05-31,-0.015395124572713517
1995-06-30,0.014008472588927082
1995-07-31,0.03990526209495488
