Date,Ticker,ME,pre_beta,is_kospi,size_decile,pre_beta_decile,post_beta,lnME,ln_BE_ME_con,ln_BE_ME_sep,ln_A_ME_con,ln_A_ME_sep,ln_A_BE_con,ln_A_BE_sep,E_P_con,E_P_sep,E_P_dummy_con,E_P_dummy_sep
2000-06-30,A000020,111617.2,1.736923756012983,1,8,10,1.177398499249,11.622830438917592,,14.574711305237958,,15.389849506250405,,0.8151382010124469,,0.3764114871385053,,0.0
2000-06-30,A000040,12727.72308,1.647066321712059,1,3,8,0.8687513697192328,9.451537813024185,,15.102825699502679,,17.158992607170124,,2.056166907667445,,0.0,,1.0
2000-06-30,A000050,50222.403,0.9952725641171324,1,6,4,0.8354049321754673,10.824216481029193,,14.45416157034182,,15.85158375906839,,1.397422188726572,,0.148739218505419,,0.0
2000-06-30,A000070,226291.4292,1.17960319203468,1,9,5,1.044325147980959,12.329578957285316,,,,,,,,,,
2000-06-30,A000080,68478.8543,1.3072149478710724,1,7,7,0.7336333655923012,11.134280280243425,,15.304480151923313,,17.870818466084657,,2.566338314161343,,0.0,,1.0
2000-06-30,A000100,211664.376,0.9803808341768608,1,9,4,0.8595804491640613,12.262757167100917,,14.152910420983936,,14.950989987193337,,0.7980795662094017,,0.13645661359188757,,0.0
2000-06-30,A000120,103104.0,1.429270478922286,1,8,8,0.9951759596376349,11.543493466536646,,15.796805091015685,,16.760003417679805,,0.9631983266641213,,0.0,,1.0
2000-06-30,A000140,324212.8392,1.6492713190130508,1,9,9,1.2551012023404458,12.68915549021392,,15.272117873259974,,16.801609676574582,,1.5294918033146088,,0.058393126031166344,,0.0
2000-06-30,A000150,486281.76075,0.7557350645781562,1,10,2,0.6902103148220036,13.094543489519472,,14.965714939170923,,16.649699325930335,,1.6839843867594102,,0.0,,1.0
2000-06-30,A000160,5469.64,1.9035095453900812,1,2,9,0.814181725921466,8.606968079721886,,,,17.59057991100423,,,,0.0,,1.0
2000-06-30,A000180,48000.0,1.5976734102769723,1,6,9,1.0120244821057636,10.778956289890028,,14.291143587949565,,15.787022611877385,,1.4958790239278201,,0.0,,1.0
2000-06-30,A000200,1436710.79892,0.8080956315124653,1,10,2,0.6902103148220036,14.177866891445818,,14.406080110498968,,15.675653054273562,,1.269572943774596,,0.07699621271305959,,0.0
2000-06-30,A000210,704374.193,1.610828010713357,1,10,9,1.2937766020086008,13.465065018078983,,15.163168199347174,,16.60431263583719,,1.441144436490015,,0.3264443047936296,,0.0
2000-06-30,A000220,9528.4838,0.9727634536035982,1,2,2,0.553112866292184,9.162040886404316,,14.19537742117929,,15.094825630942964,,0.899448209763675,,0.10451916378117834,,0.0
2000-06-30,A000230,17576.2535,1.9214354895120052,1,3,9,0.7247895621123521,9.774304037037357,,12.847421193837635,,15.505069993737445,,2.6576487998998104,,0.0,,1.0
2000-06-30,A000240,705982.86072,1.3966312242569656,1,10,7,1.0955190496461151,13.46734623958013,,14.496963606681673,,15.462593935664076,,0.9656303289824021,,0.06110581835737666,,0.0
