,Date,size_decile,pre_beta_decile,ret
0,1999-07-31,1,1,-0.07265104940452123
1,1999-07-31,1,2,0.1434897469364005
2,1999-07-31,1,3,0.46927165667295256
3,1999-07-31,1,4,0.5999894038050768
4,1999-07-31,1,5,0.1465366124752503
5,1999-07-31,1,6,0.6281149277216064
6,1999-07-31,1,7,0.44765091844657734
7,1999-07-31,1,8,1.138957835348135
8,1999-07-31,1,9,0.49640966131358444
9,1999-07-31,1,10,0.31388865612173017
10,1999-07-31,2,1,-0.010806412963491855
11,1999-07-31,2,2,0.12660793665062633
12,1999-07-31,2,3,0.42049937301959306
13,1999-07-31,2,4,0.02475178782225992
14,1999-07-31,2,5,0.041385859638709235
15,1999-07-31,2,6,0.09147699303738009
16,1999-07-31,2,7,0.2131527843309381
17,1999-07-31,2,8,0.45950137578850947
18,1999-07-31,2,9,0.3069874208271776
19,1999-07-31,2,10,0.34315490060139536
20,1999-07-31,3,1,-0.03455598613671475
21,1999-07-31,3,2,0.04870195072484715
22,1999-07-31,3,3,-0.025382090134874847
23,1999-07-31,3,4,0.16467835385179205
24,1999-07-31,3,5,0.01983795762809261
25,1999-07-31,3,6,-0.074057127259098
26,1999-07-31,3,7,0.11815330342512755
27,1999-07-31,3,8,0.16270697534374803
28,1999-07-31,3,9,0.17620291638071803
29,1999-07-31,3,10,0.18202196236397272
30,1999-07-31,4,1,-0.027331960174036857
31,1999-07-31,4,2,0.11525713723609675
32,1999-07-31,4,3,-0.07745851272643284
33,1999-07-31,4,4,-0.07970701436548148
34,1999-07-31,4,5,0.15488887941913315
35,1999-07-31,4,6,0.168059143054169
36,1999-07-31,4,7,0.12038932892078642
37,1999-07-31,4,8,0.32892500777349587
38,1999-07-31,4,9,0.4947171931849765
39,1999-07-31,4,10,0.20811719615733124
40,1999-07-31,5,1,0.049388935518513484
41,1999-07-31,5,2,-0.048519245090025524
42,1999-07-31,5,3,-0.06213866579768136
43,1999-07-31,5,4,-0.08705366885155646
44,1999-07-31,5,5,0.09598744467719739
45,1999-07-31,5,6,0.25863788689326245
46,1999-07-31,5,7,0.023651813792190075
47,1999-07-31,5,8,0.008854414148576493
48,1999-07-31,5,9,-0.00886337368201354
49,1999-07-31,5,10,0.006728414360078127
50,1999-07-31,6,1,-0.015708558234265618
51,1999-07-31,6,2,0.16127195324571963
52,1999-07-31,6,3,0.1156149910196374
53,1999-07-31,6,4,0.0806360674628193
54,1999-07-31,6,5,-0.08547520853879412
55,1999-07-31,6,6,-0.08261843457756328
56,1999-07-31,6,7,0.019852523357861127
57,1999-07-31,6,8,0.07752244402765518
58,1999-07-31,6,9,0.31239985371397255
59,1999-07-31,6,10,0.13056026245908736
60,1999-07-31,7,1,-0.04600666784238677
61,1999-07-31,7,2,-0.03503878318948152
62,1999-07-31,7,3,0.20206066714903276
63,1999-07-31,7,4,0.011212678388190955
64,1999-07-31,7,5,0.2851212109974774
65,1999-07-31,7,6,0.2075627880583377
66,1999-07-31,7,7,0.09240478653169903
67,1999-07-31,7,8,0.17601677794412288
68,1999-07-31,7,9,0.023023868376345458
69,1999-07-31,7,10,0.019022319233995957
70,1999-07-31,8,1,0.020568264722250762
71,1999-07-31,8,2,-0.04125700233037025
72,1999-07-31,8,3,0.09142106649981674
73,1999-07-31,8,4,0.03278671807184541
74,1999-07-31,8,5,0.07635436777877273
75,1999-07-31,8,6,0.2239055269837121
76,1999-07-31,8,7,-0.050757988814254286
77,1999-07-31,8,8,0.14201394038892315
78,1999-07-31,8,9,0.1531137513654647
79,1999-07-31,8,10,-0.0755170041764861
80,1999-07-31,9,1,0.01378680069093958
81,1999-07-31,9,2,0.033491020079478316
82,1999-07-31,9,3,-0.007739892789863349
83,1999-07-31,9,4,-0.03576887455265145
84,1999-07-31,9,5,0.15977895892984822
85,1999-07-31,9,6,0.014347951449000347
86,1999-07-31,9,7,0.27586943156598975
87,1999-07-31,9,8,0.046122320719007064
88,1999-07-31,9,9,0.09586595115905179
89,1999-07-31,9,10,0.2519236848630832
90,1999-07-31,10,1,0.1652237920413356
91,1999-07-31,10,2,0.022412986842496485
92,1999-07-31,10,3,0.21579984936736504
93,1999-07-31,10,4,0.1717693474188898
94,1999-07-31,10,5,0.0406055463869211
95,1999-07-31,10,6,0.1935582792355263
96,1999-07-31,10,7,0.2630461889818005
97,1999-07-31,10,8,0.10454657017810794
98,1999-07-31,10,9,0.20067866682289634
99,1999-07-31,10,10,0.17060228851732076
100,1999-08-31,1,1,0.06434670540836757
101,1999-08-31,1,2,0.01813679553069368
102,1999-08-31,1,3,0.17302350209199138
103,1999-08-31,1,4,0.016228729483155773
104,1999-08-31,1,5,0.04662775829619297
105,1999-08-31,1,6,-0.10574158207876998
106,1999-08-31,1,7,-0.055765984355275335
107,1999-08-31,1,8,-0.0035553067295434853
108,1999-08-31,1,9,-0.014446568107915891
109,1999-08-31,1,10,-0.2082615843828351
110,1999-08-31,2,1,-0.07276028949229911
111,1999-08-31,2,2,-0.1149136384005824
112,1999-08-31,2,3,-0.07388291012827153
113,1999-08-31,2,4,0.3782163477563388
114,1999-08-31,2,5,0.038266989884831695
115,1999-08-31,2,6,0.029654240246140773
